"","line","section_name","section_artist","song_name","artist_name","song_id"
"1","Istud malum","Intro","Choir","The Great Tribulation","Epica",8384859
"2","Numquam visum","Intro","Choir","The Great Tribulation","Epica",8384859
"3","Terra numquam ita laesa est","Intro","Choir","The Great Tribulation","Epica",8384859
"4","Mundus miserabilis","Intro","Choir","The Great Tribulation","Epica",8384859
"5","Tantus furor non iam oritur","Intro","Choir","The Great Tribulation","Epica",8384859
"6","Postquam haec subiimus","Intro","Choir","The Great Tribulation","Epica",8384859
"7","This is the greatest tribulation","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"8","Don't give in to all the fear","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"9","It will cause pain and suffering","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"10","We can't escape","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"11","It's part of our evolution","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"12","Do not dwell on elegy","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"13","Trust your instinct, it will always guide the way","Verse 1","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"14","This is the full annihilation","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"15","Just give in to our fate","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"16","It will destroy all dignity","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"17","We can't escape","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"18","There will be no absolution","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"19","Do not breathe in all the grief","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"20","Trust your instinct, it will always guide the way","Verse 2","Francesco Paoli, Simone Simons, both","The Great Tribulation","Epica",8384859
"21","Laws of time","Pre-Chorus","Choir","The Great Tribulation","Epica",8384859
"22","Dictate our lives","Pre-Chorus","Choir","The Great Tribulation","Epica",8384859
"23","This moment we live in will drive us faster to the arms of solitude","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"24","This torment will force us to open up the doors to our awakening","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"25","Spread light","Post-Chorus","Francesco Paoli","The Great Tribulation","Epica",8384859
"26","Let that inner force be on your side","Post-Chorus","Francesco Paoli","The Great Tribulation","Epica",8384859
"27","Spread light","Post-Chorus","Francesco Paoli","The Great Tribulation","Epica",8384859
"28","Trust the path","Post-Chorus","Francesco Paoli","The Great Tribulation","Epica",8384859
"29","Our fate put into practice what you got along the way","Post-Chorus","Francesco Paoli","The Great Tribulation","Epica",8384859
"30","Tanget omnem iste horror","Breakdown","Choir","The Great Tribulation","Epica",8384859
"31","Creaturam","Breakdown","Choir","The Great Tribulation","Epica",8384859
"32","Contra cladem nos armemus","Breakdown","Choir","The Great Tribulation","Epica",8384859
"33","Te praepara","Breakdown","Choir","The Great Tribulation","Epica",8384859
"34","Dancing on ruins in search of more power","Bridge","Simone Simons","The Great Tribulation","Epica",8384859
"35","But we have forgotten to water the soil that forgives","Bridge","Simone Simons","The Great Tribulation","Epica",8384859
"36","Let it live","Bridge","Simone Simons","The Great Tribulation","Epica",8384859
"37","The moment we're living reveals our true identity","Pre-Chorus","Simone Simons","The Great Tribulation","Epica",8384859
"38","This moment we live in will drive us faster to the arms of solitude","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"39","This torment will force us to open up the doors to our awakening","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"40","This moment we live in will drive us faster to the arms of solitude","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"41","This torment will force us to open up the doors to our awakening","Chorus","Simone Simons & Choir","The Great Tribulation","Epica",8384859
"42","Laws of time","Outro","Choir","The Great Tribulation","Epica",8384859
"43","Dictate our lives","Outro","Choir","The Great Tribulation","Epica",8384859
"44","Outside the world","Verse 1","Simone Simons","Wake the World","Epica",8384860
"45","Turning to dust","Verse 1","Simone Simons","Wake the World","Epica",8384860
"46","Our hearts are longing","Verse 1","Simone Simons","Wake the World","Epica",8384860
"47","To heal the wounds, a new age is dawning (dawning)","Verse 1","Simone Simons","Wake the World","Epica",8384860
"48","If I could see","Verse 1","Simone Simons","Wake the World","Epica",8384860
"49","Not only hear","Verse 1","Simone Simons","Wake the World","Epica",8384860
"50","The voice of music","Verse 1","Simone Simons","Wake the World","Epica",8384860
"51","Could that awareness","Verse 1","Simone Simons","Wake the World","Epica",8384860
"52","Save our souls from echoed tragedies?","Verse 1","Simone Simons","Wake the World","Epica",8384860
"53","Can we cure our pain with harmony?","Pre-Chorus","Epica","Wake the World","Epica",8384860
"54","(You are never gonna change your world)","Pre-Chorus","Epica","Wake the World","Epica",8384860
"55","Ride the waves, for human eyes remain to see, blindly","Pre-Chorus","Epica","Wake the World","Epica",8384860
"56","(You are vulnerable)","Pre-Chorus","Epica","Wake the World","Epica",8384860
"57","Will we paint the sky in symphony?","Pre-Chorus","Epica","Wake the World","Epica",8384860
"58","(Music cannot redeem)","Pre-Chorus","Epica","Wake the World","Epica",8384860
"59","Can our music heal the world?","Pre-Chorus","Epica","Wake the World","Epica",8384860
"60","The time will come","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"61","Turn dreams into melodies","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"62","By bringing our hearts together","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"63","A simple tune, a song","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"64","To wake the world","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
